Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,137.830002,138.710007,134.500000,134.559998,134.227432,7206500
2022-04-01,134.449997,135.279999,132.750000,133.520004,133.190018,5807500
2022-04-04,133.050003,135.210007,132.860001,134.339996,134.007980,5307300
2022-04-05,134.039993,134.679993,132.020004,132.300003,131.973038,5707800
2022-04-06,130.050003,130.300003,126.330002,128.360001,128.042770,6961000
2022-04-07,127.430000,129.979996,127.089996,129.380005,129.060242,5320500
2022-04-08,129.440002,129.929993,127.879997,128.149994,127.833275,4877400
2022-04-11,125.099998,126.870003,124.320000,124.980003,124.671120,6365400
2022-04-12,125.199997,128.100006,124.339996,125.040001,124.730972,5146800
2022-04-13,125.040001,127.860001,125.040001,127.489998,127.174911,5119300
2022-04-14,129.080002,134.380005,128.889999,133.460007,133.130173,12811300
2022-04-18,132.000000,133.389999,130.309998,131.630005,131.304688,5298200
2022-04-19,133.089996,137.479996,132.779999,137.050003,136.711288,7346100
2022-04-20,137.960007,138.649994,135.660004,135.869995,135.534195,5309700
2022-04-21,138.550003,139.139999,135.080002,135.460007,135.125229,6562400
2022-04-22,134.330002,134.929993,128.710007,129.070007,128.751022,7321700
2022-04-25,127.800003,128.940002,124.849998,127.940002,127.623802,6512500
2022-04-26,126.949997,127.589996,120.480003,120.519997,120.222137,7977900
2022-04-27,121.089996,124.000000,121.089996,121.239998,120.940361,6007800
2022-04-28,123.169998,127.970001,122.599998,127.050003,126.736008,6551600
2022-04-29,126.220001,128.449997,124.250000,124.699997,124.391808,5867900
2022-05-02,124.430000,126.180000,122.800003,126.080002,125.768402,5428400
2022-05-03,125.019997,125.760002,120.220001,122.860001,122.556358,8201200
2022-05-04,122.540001,126.199997,120.080002,126.059998,125.748444,6924000
2022-05-05,124.110001,124.750000,116.519997,118.629997,118.336807,8411600
2022-05-06,113.739998,115.900002,110.660004,114.489998,114.207039,11237500
2022-05-09,112.970001,114.430000,110.589996,111.209999,110.935150,7506000
2022-05-10,113.029999,113.440002,108.349998,109.489998,109.219398,7526900
2022-05-11,110.699997,111.150002,107.589996,107.919998,107.653282,6611800
2022-05-12,105.180000,109.879997,105.000000,107.900002,107.633331,10245400
2022-05-13,110.260002,113.110001,108.669998,113.010002,112.730705,9618800
2022-05-16,112.980003,113.440002,111.559998,112.599998,112.321716,5722500
2022-05-17,115.500000,117.099998,113.070000,115.900002,115.613564,6026100
2022-05-18,112.500000,113.360001,108.779999,109.370003,109.099701,8188300
2022-05-19,108.949997,109.110001,106.279999,106.440002,106.176941,7702000
2022-05-20,108.669998,109.690002,105.070000,108.000000,107.733086,7621900
2022-05-23,107.470001,108.750000,105.820000,108.629997,108.361526,7136400
2022-05-24,107.110001,107.989998,104.730003,107.290001,107.024841,6023400
2022-05-25,103.459999,108.889999,103.459999,108.199997,107.932587,7158800
2022-05-26,110.000000,113.500000,110.000000,112.940002,112.660873,6520300
2022-05-27,114.220001,116.010002,114.010002,115.989998,115.703331,5043000
2022-05-31,117.500000,119.790001,114.449997,118.849998,118.556267,13774600
2022-06-01,119.830002,120.750000,117.610001,118.680000,118.386688,5543100
2022-06-02,119.510002,123.580002,119.260002,123.410004,123.105003,5838100
2022-06-03,120.209999,122.540001,120.000000,120.949997,120.949997,5201000
2022-06-06,121.500000,122.139999,119.430000,120.230003,120.230003,3963400
2022-06-07,118.660004,121.970001,118.459999,121.669998,121.669998,5373600
2022-06-08,120.900002,123.820000,120.449997,122.400002,122.400002,4365800
2022-06-09,121.349998,122.029999,118.589996,118.599998,118.599998,3892600
2022-06-10,117.089996,117.089996,114.260002,114.730003,114.730003,6292600
2022-06-13,110.389999,112.019997,109.239998,110.440002,110.440002,6423100
2022-06-14,110.370003,111.889999,110.010002,110.720001,110.720001,4548400
2022-06-15,112.160004,114.720001,111.209999,113.440002,113.440002,4828700
2022-06-16,109.510002,109.900002,105.720001,107.120003,107.120003,7384800
2022-06-17,106.150002,108.550003,105.849998,107.339996,107.339996,10205000
2022-06-21,108.459999,109.820000,108.040001,108.680000,108.680000,6211400
2022-06-22,105.400002,106.900002,104.610001,104.919998,104.919998,9884000
2022-06-23,105.010002,108.099998,104.410004,108.000000,108.000000,8898400
2022-06-24,109.930000,112.940002,109.610001,112.910004,112.910004,10463700
2022-06-27,112.239998,113.209999,109.839996,110.500000,110.500000,12644700
2022-06-28,108.199997,114.050003,102.480003,102.779999,102.779999,31296500
2022-06-29,102.989998,105.610001,101.529999,103.250000,103.250000,10326600
2022-06-30,101.940002,103.379997,100.779999,102.199997,102.199997,9027400
2022-07-01,101.639999,102.500000,99.529999,101.180000,101.180000,7932200
